TranscriptID	hyva<1>	chfle<2>	neno<3>	cyca<4>	sama<5>	chfus<6>	isnoc<7>	pabor<8>	cebra<9>	gafa<10>	gopla<11>	gonor<12>	golob<13>	nema<14>	exadia<15>	enqua<16>	hehe<17>	stmer<18>	hemag<19>	stgag<20>	sthad<21>	acte<22>	ando<23>	oula<24>	macdac<25>	heaur<26>	hecri<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>
OG0004238	+242.947	-46.772	+1610.7	-93.21	+393.236	-170.764	-23.3231	+492.28*	-64.7202*	-449.969	-1.10381*	-29.7509	-1.75091	+1128.95	+43.4085	+7.1812	-9.21357	-66.2136	-33.2747	-16.4012	+17.5988	+935.455*	-43.7757*	+246.224*	-33.2533	+26.5115	-24.4885	+0	-81.0419	+147.761	+18.5288	-229.091	+87.5537	-88.6825	-157.005	+41.3971	+360.405	+328.236	-876.866	+771.647	-190.68	-161.461	-23.7727	-7.27413	+39.6689	+0	+49.0612	+11.1264	-20.0562	+20.0562	-101.769	-28.2351	+28.2351
OG0007035	+1546.48	-812.521	+2598.09	-16.4631	+4104.17	-1053.83	-175.597	-216.786	+299.214	-317.817	+82.9205	-253.496	+366.504	+2434.4	+298.153	-363.131	+1539.02	-156.522	-506.521	+306.022	-267.978	+336.3	-197.592	+463.408	+373.656	+5.40765	+12.4077	+0	-376.178	+481.176	+682.388	-626.446	+58.3713	-256.611	-325.136	+427.189	+406.216	-429.132	+559.262	-88.5836	+636.65	-551.752	-124.716	+169.949	+647.899	-551.456	+104.999	+446.457	-345.524	-30.8558	-111.107	+65.7886	-207.752
OG0002258	+1237.71	+695.051	+5866.3*	-238.401*	+2244.05	-667.949	+1097.98	+302.078	-329.922	-547.555*	-708.478	+1084.98	-850.023	+726.094	+2136.5	-408.855*	+1704.48*	-0.344123	-128.344	+65.0307	-59.9693	-392.592*	+152.504	-179.496	-553.344*	+434.1	-376.9	+0	-343.768	-226.573	-246.249	-443.299	+689.548	+280.218	+1305.28	-530.101	-506.791	-215.393	+1314.92	+712.546	+277.957	-236.41	-492.641	+373.114	+409.551	-481.176	+0	+71.6252	-197.841	-81.5355	+398.904	+126.216	+1081.56
OG0000769	+1965.4	-637.29	+250.091	+2349.7	+3956.92	-848.079	-331.071*	-1215.57	+1944.43	+268.504	-365.396	+52.4794	-104.521	-1217.9	-2080.24*	+21962*	-4914.01*	-8049.68	-1323.75	+4468.66	-4043.34	-2781.14*	+2365.7	-2686.3	-1606.9*	-439.52	+379.48	+0	-506.519	+440.21	+443.619	-160.605	-723.224	-244.684	-497.325	+2800.5	+560.439	-404.338	-156.1	+446.125	+486.066	+1000.34	+3319.72	-2635.65	+2129.69	+11515.7	+5966.07	+1006.59	-919.513	+628.331	+5078.17	-764.906	+5470.62
OG0004644	-61.8331	-64.3491	+938.455*	+532.369*	+331.62*	-17.3798*	-29.0143	+335.699	-197.301	+164.876	-69.5915	-72.4012	+97.5988	+172.929	+160.876	-119.21	+102.366	-49.0143	-112.301	+167.183	-139.817	+50.4031	-77.5915	+202.408	-23.3282	-55.21	+62.79	+0	+44.9857	-93.4697	+86.1956	-98.9133	-50.2516	+170.252	+63.9433	+36.2865	-28.119	-25.8277	-92.5327	+68.8096	+28.119	-53.9467	-74.9142	+74.9142	+173.51	-55.6197	+36.2865	+82.5164	-83.9106	+18.3834	-27.0054	-16.8854	+25.8818
OG0004575	+72.145	+516.591	+1250.39*	+10.6659	+588.252*	-23.7481*	-517.786	-918.909	+1640.09	+444.401	-523.521	-734.9	+1122.1	+861.401	-411.463	-261.786	+1947.24	-722.74	-176.909	+226.522	-205.478	+1518.52	-438.599	+823.401	-217.949	+611.724	-389.276	+0	-21.0484	-302.398	-81.7989	-71.2758	-4.58595	+649.47	-481.49	+1318.12	+459.322	+0	-305.078	+600.38	+0	-249.136	+318.323	+72.1916	+410.784	-682.022	+507.169	+85.5691	-207.688	+529.188	-462.879	-570.341	+177.327
OG0004969	+53.1534	+644.153	+1756.6	-237.855	+767.445	-371.555	-329.847	-13.4631	-25.4631	-65.9693	+53.8693	+172.031	-122.969	-498.496	+491.537	-307.276	+461.401	+232.537	-489.906	-87.978	+54.022	+2859.21*	-237.496	+446.504	-143.644	+213.872	-151.128	+0	-43.3508	+43.3508	-199.451	-336.541	+235.701	+0	+43.3508	+302.616	-41.5469	-77.9796	+38.1614	-38.1614	+41.5469	+345.967	-210.187	+154.244	+305.078	-249.136	-109.557	+500.072	-201.441	+575.707	-664.29	-512.436	+106.484
OG0003355	-339.014	-364.751	+1965.15	+279.376	+1872.15	-401.855	-643.922	+740.756	-564.244	-303.807	+429.921	-127.396	+148.604	-266.396	+446.051	-99.7509	+237.145	+71.0046	+325.315	-114.611	+222.389	+183.522	-430.909	+718.091	-133.772	+34.3564	-54.6436	+0	+508.116	-143.38	+268.096	-416.222	-119.769	+124.716	+1197.08	+650.321	-389.06	-167.98	+602.273	-244.684	+189.609	+114.553	-183.198	+33.5932	-301.489	-113.86	-16.3107	-130.073	+326.932	+922.202	-85.5691	-707.504	+147.872
OG0000274	+686.869	-92.1278	+1583.44	+277.228	+2727.29*	-296.713*	-222.555	-207.949	+216.051	-204.807	+43.2491	+290.445	-235.555	+17.7238	-57.2762	-37.2762	-261.906	-306.74	+192.401	-30.7399	+28.2601	-273.496	-136.522	+233.478	-246.522	+218.537	-171.463	+0	-206.431	-29.5719	+60.4277	-314.783	-96.0593	+30.8558	+0	+215.393	+32.1954	-288.944	+288.944	-32.1954	+360.525	+0	+0	+0	+100.63	+228.834	+129.859	-129.859	-47.1967	-88.5836	+185.026	+96.4425	+160.941
OG0006664	+176.183	-209.713	+153.183	+585.366	+1164.88	-236.124	+140.724	+52.9205	-71.0795	+270.947	-22.3915	-39.6112	+34.3888	+154.356	+6.18281	-397.817*	+491.356	-198.995	-293.733*	-297.969	+468.031	+9660.21*	-178.624	+393.376	+461.376	-53.772	+45.228	+0	-63.1832	-133.921	+197.105	-63.1832	-173.51	+188.152	+481.49	-47.1967	-188.152	-104.581	-124.661	+10.2198	+110.01	-46.8264	+0	+314.579	-267.752	-182.648	+158.738	+328.236	+291.88	+528.51	-1037.16	-508.652	-198.852
