TranscriptID	hyva<1>	chfle<2>	neno<3>	cyca<4>	sama<5>	chfus<6>	isnoc<7>	pabor<8>	cebra<9>	gafa<10>	gopla<11>	gonor<12>	golob<13>	nema<14>	exadia<15>	enqua<16>	hehe<17>	stmer<18>	hemag<19>	stgag<20>	sthad<21>	acte<22>	ando<23>	oula<24>	macdac<25>	heaur<26>	hecri<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>
OG0006480	+151.031	-294.396	+1691.15	+334.214	+1511.15	-381.855	-220.522	+708.537	-466.463	-3.85497	-170.817	-44.1278	+37.8722	-257.7	+156.031	-419.344	+1314.09	+29.0307	-81.3958	+112.031	-83.9693	-217.276	-413.906	+655.094	-200.592	+267.656	-230.344	+0	-71.6252	+35.0517	+199.451	-389.06	-146.931	+0	+376.178	+160.941	-181.72	-119.769	+21.9622	+153.311	+85.0754	+168.27	-71.6252	+191.152	+236.41	-355.937	-36.5735	+36.5735	-119.527	+255.307	+100.63	-279.377	+207.752
OG0006993	-90.3915	-66.0709	+422.315	+952.599	+482.022	-85.9779*	+42.7864	+13.1812	-8.8188	-59.5969	-20.1242	-52.7637	+67.2363	+75.3154	-17.7127	-146.071	-119.644	-84.6243	-138.786	+321.249	-239.751	-30.3008	+51.366	-63.634	-64.2136	+124.989	-94.0107	+0	+68.3722	+41.3073	+30.6137	-108.283	-162.423	-47.4889	-49.0612	-32.3948	+47.4889	-78.1667	+65.5273	+12.6395	+71.9209	-44.9719	+14.3582	+63.9433	+165.629	+50.9807	+27.1621	+120.964	-78.3016	+114.588	+19.3332	-123.499	+71.7971
OG0006625	-236.23	-1434.46	+1783.57	+9918.76	+2847.09	-1136.91	-3162.54	+465.26	-390.74	+321.764	-419.333	-867.472	+1318.53	-1523.29	-949.435	+2411.73	+6815.73	-2162.81	+2561.56	-738.81	+787.19	-2219.51	+4183.21	-3049.79	-1320.23	+672.986	-554.014	+0	+200.201	-1082.97	+1082.97	-752.196	-2088.33	+1139.18	+527.921	+3861.2	-247.602	-1643.78	-168.903	+345.139	+1350.28	+959.141	+710.84	-710.84	+710.84	-1963.47	+1252.63	-1252.63	-652.915	+2549.99	+1836.28	-2748.29	+1091.78
OG0003265	+204.455	-15.882*	+974.224*	-17.3798*	+673.39*	-87.6098*	+17.6042	+143.656	-119.344	-25.772	-117.301	-44.6436	+19.3564	+608.656	+59.4077	-203.644	-76.6997	-214.555	-260.969	-25.0795	+51.9205	+96.3154	-174.713	+385.287	+271.166	-809.521*	+2099.48*	+0	-48.2913	-102.371	+48.8936	-47.3959	+82.2301	+591.446	+131.696	-35.0517	-85.0754	-198.852	+18.5288	+129.343	+181.72	-207.752	-24.9488	+106.484	+29.5719	+30.8558	+137.414	+208.11	-55.5036	-249.94	-44.9719	+777.21	-114.314
OG0003866	-62.0388*	-178.713	+683.193	+1689.05*	+610.464*	-93.5356*	-206.396	-39.8466	+1.15339	+28.2363	-102.124	-111.685	+155.315	-15.1242	-34.7637	-123.952	+446.929*	-22.5969	+63.3888	+35.7864	-31.2136	-12.772	-158.772	+247.228	-119.071	-58.8066	+39.1934	+0	+328.957	-61.2827	+154.094	-167.855	-207.416	+53.3054	+397.095	+199.451	-141.537	+0	-12.6395	+84.5604	-12.6395	+12.6395	+13.1882	+58.7327	-30.6137	-119.474	+20.0143	-38.3977	+16.3107	+34.7767	+0	-46.9244	+139.736
OG0007395	-74.4235	-37.4114	+107.747	+29.4338	+362.28*	-61.7202*	+242.228	-20.9519	+17.0481	+13.2363	-50.1242	-15.7127	+6.28731	+291.048	-7.39148	-26.3915	+108.947	-129.952	-248.014*	-188.555	+234.445	-80.5915	-101.275	+178.725	+9.45533	+26.4553	-28.5447	+0	+93.9047	-97.9168	+26.842	-30.6871	-13.846	+169.724	+66.7195	-109.82	-43.1007	-13.1882	-12.6395	+39.5885	+0	-81.5604	+0	+10.2198	+114.441	-43.1007	+92.0624	+332.541	-63.2025	+16.1828	+57.6832	-14.8641	+0
OG0006380	-1561.76	+11117.6	+7378.98	-839.29	+1862.45	-1074.55	+13604.2	-1938.81	+2650.19	+338.872	-207.807	-236.128	+381.872	-339.762	+4282.87	-1025.74*	-329.909	-983.762	-289.023	-535.683	+621.317	-1901.63	+2133.71	-1430.29	-356.906	+220.401	-150.599	+0	+1744.57	+921.099	-2042.41	-1241.73	+910.263	-744.764	+8600.22	-4985.98	-1801.11	-663.335	-196.321	+196.321	+801.299	+190.366	-872.388	+682.022	-174.853	+174.853	+623.262	+245.66	+190.366	+1088.51	+1813.65	-1101.22	+358.693
OG0006406	-464.949	+639.504	+5330.66*	+866.048	+101.648	-59.3515	+203.522	+365.091	-302.909	-68.6243	+26.8722	-137.128	+134.872	-783.909	+3482.45	-933.786	+4657.76	-851.244	-30.6344	-1008.32	+1244.68	-423.29	-92.3039	+149.696	-691.847*	+434.078	-383.922	+0	+277.957	-236.41	-191.152	-490.392	-175.6	+292.384	+529.188	-85.5691	-292.384	-609.282	+55.5036	+0	+736.003	+466.644	-774.767	+482.976	+1913.47	-1169.99	+535.391	+148.684	-857.241	+238.769	+283.014	-246.674	+1197.08
OG0006296	+5377.4	+1243.72	+420.656	-61.7864	+1295.87	-442.128	-100.786	-251.555	+348.445	-117.624	-86.5555	-29.3441	+5.65588	-343.592	-33.9693	-369.969	-31.1307	-373.949	-135.522	+182.479	-162.521	+335.504	+30.6042	-68.3958	+1471.71	+175.869	-157.131	+0	-751.203	+291.88	-326.932	-154.558	+28.3414	-216.772	+27.1621	+88.7691	-26.0319	+26.0319	+115.931	+65.7886	+0	+279.377	+0	+162.877	-124.716	+39.8182	+226.573	+104.999	+141.675	-185.026	-156.1	+343.768	-610.159
OG0005900	-68.7202*	-145.391	+44.9474	+401.929	+635.79	-160.21	+239.79	+131.167	-64.8331	-102.011	+72.0046	-57.0709	+71.9291	+282.403	+82.1082	-91.4308*	+61.5765	-13.7202	-26.881	-0.977916	-1.97792	-196.011*	-505.644*	+4115.36*	+1425.32*	+106.747*	-58.2533*	+0	+160.671	+0	+124.661	-14.9816	-128.861	+0	-19.1815	-86.3768	+10.2198	+33.3994	+112.985	-46.9244	-20.0143	-71.7051	-29.461	+65.8974	-93.9047	-21.7033	+10.1608	+20.0969	+126.624	-37.9412	+295.633	+58.7327	-256.431
OG0006167	+33.7238	+195.479	+568.478	+1148.05	+814.376	-366.624	+279.921	+630.051	-406.949	-299.786	-396.847	-564.834	+911.166	+152.094	+948.724	-398.969	+1337.15*	-217.7	-252.396	-15.4959	+49.5041	+59.2136	-245.599	+286.401	-403.592*	+96.5369	-146.463	+0	+0	+154.244	-104.999	-226.573	-331.325	-135.78	+88.5836	-130.131	-41.5469	-304.162	+389.06	+360.988	+277.957	-100.63	-255.307	+208.11	-45.2329	-331.147	+131.696	+156.1	+0	+575.707	-69.1878	-487.487	+744.871
OG0006663	-86.3282	-226.124	-117.592	+3580.21*	+756.79	-167.21	+73.0481	+99.9893	-76.0107	-63.4885	-106.597	-215.071*	+567.929*	+145.108	-48.2912	-90.3515*	-17.3915	-120.611	+124.929	+345.989*	-156.011*	-41.21	-30.3915	+40.6085	-10.4308	+9.16687	-5.83313	+0	+55.283	+45.513	+308.468	+53.1941	-436.576	-38.3977	+109.738	-37.9412	-53.3217	-6.40337	+78.1085	+119.474	+0	-39.6006	+27.0603	+57.24	+36.8	+10.2198	+99.4597	-66.0603	-23.7727	+41.3912	+19.1815	-50.388	+5.4023
OG0003016	-85.21	+351.389	+747.427*	-44.7202	+768.569*	-107.431*	-123.47*	-70.6997	+94.3003	-260.624	-227.131	-144.079	+185.921	-39.0143	+3.22796	-298.772*	+1543.87*	-193.014	-6.81719	+313.267	-207.733	+794.656	-148.733	+171.267	-124.071	+52.1934	-43.8066	+0	+51.1912	-21.7899	-85.038	-85.853	+49.7107	+23.723	-155.654	+575.23	+193.682	+140.818	+291.506	+169.949	-75.7923	+17.7578	+0	+198.852	+55.5036	-272.114	+118.803	+22.9157	-50.9807	+232.701	-256.611	-229.573	+139.736
OG0006954	-42.6436	+124.145	+1269.7	-159.611	+682.699	-269.301	+130.656	+501.3	-308.7	-81.7864	-149.555	-201.396	+229.604	+64.3757	+176.408	-199.733	+743.267*	-96.0526	-101.014	-53.855	+35.145	+26.5041	+164.504	-125.496	-48.0526	+76.0046	-54.9954	+0	+24.9488	-93.7374	-60.5542	-199.69	+199.69	+111.107	+96.6444	-96.6444	-57.9133	+0	+88.7691	+100.84	-27.1621	-26.0319	-48.8594	+74.8913	-74.8913	-190.68	+48.9617	+96.8407	+55.5036	+317.368	+0	-321.075	+31.9428
OG0001454	-137.301	+177.408	+1007.18	-168.713	+2524.15*	-424.855*	-145.275	+243.699	-168.301	+366.604	-178.786	-95.3441	+97.6559	-170.733	+113.214	-262.624	+49.2601	-587.74	+241.696	+300.214	-215.786	+486.214	-92.634	+115.366	-181.401*	+318.356	-198.644	+0	+82.5164	+71.7752	-71.7752	-197.105	+175.142	-82.5164	-189.026	+189.026	+207.486	+189.609	-189.609	+154.558	-102.053	+102.053	-27.1621	+115.931	+722.184	+0	+346.564	-147.518	-276.921	+188.152	-188.152	-197.233	+307.242
OG0006591	-757.74	-1093.46	+1091.76	+3208.45	+2301.71	-944.29	-475.52	-1195.04	+1449.96	-50.9058	-108.521	-255.463	+296.537	-1117.76	+2934.32	-1051.92	+371.238	-833.909	-441.806	-618.244	+725.756	-1345.29	+77.5649	-206.435	+71.0511	+125.869	-138.131	+0	+592.738	-712.015	+1544.78	-451.69	-910.263	+958.205	+4344.84	+319.521	-1279.71	-500.072	+53.6147	+55.9425	+410.784	+868.921	-775.761	+530.101	-623.262	-174.853	+682.897	+235.438	+513.113	+3771.16	+959.141	-2325.19	-39.8182
OG0005333	-501.624	+7485.48*	+3200.15*	+6060.79*	+700.056*	-25.9437*	-271.555	+894.153	-485.847	+311.478	-28.4959	-7.84661	-16.8466	-378.382	-395.023	-1867.68	-2225.81	+528.697	-254.435	+5691.7	-3352.3	-714.806	-535.137	+469.863	-1710.24*	+2710.29	-1723.71	+0	+662.896	+0	-782.666	-298.641	-180.27	+55.9425	-602.908	+300.291	+544.437	-705.378	-185.026	+43.3508	+654.482	+225.641	+245.66	+1044.55	+2700.57	+1600.49	-347.868	+347.868	-1290.21	-115.218	+628.331	+120.22	+2576.47
OG0003401	-65.3441	-357.7	+766.504	+380.445	+1727.36	-427.644	+6.16566	+809.537	-488.463	-58.0143	-3.634	-103.634	+123.366	-300.496	+670.478	-508.496	+856.537	-309.079	-277.521	+181.26	-145.74	-687.786	-178.922	+98.0775	-299.786	+209.504	-170.496	+0	+0	-96.6444	+287.796	-256.94	-166.912	+109.787	+485.704	-58.3713	-206.431	-301.685	+55.6197	+0	+287.796	+185.026	-185.026	+236.41	+109.557	-257.384	+201.441	+175.219	-100.63	+528.51	+576.136	-481.49	+345.709
OG0003372	+255.876	-62.4235	+1038.43*	-41.0388	+1038.71*	-103.291*	-38.3958	+1204.03	-521.969	+38.9857	-49.0526	-18.0143	+9.98575	-2.40116	+248.599	+65.4085	-13.2747	-109.275	+4.28731	+58.0481	-42.9519	-25.3515	-76.8918	+159.108	-16.8918	-49.5732	+72.4268	+0	-74.9142	-119.786	+64.1497	-97.5344	+51.2525	+248.424	+377.762	+36.5735	-147.682	+92.0624	-48.9617	+48.9617	-49.5507	+0	-68.8096	-16.1828	+73.866	+0	+74.438	-13.7608	-34.9203	-6.13693	+12.5403	+6.40337	+6.68138
OG0000923	+1275.32	-70.3491*	+897.79*	-76.4235	+1072.73	-209.275	-302.128	-205.847	+254.153	+35.3888	+398.79*	-94.5356*	+655.464*	+3886.29*	-103.978*	+307.249	-143.807	-102.644	-198.624	-162.751	+209.249	+5121.02*	+70.6559	-53.3441	-222.713*	+232.3	-167.7	+0	-185.356	-108.979	+134.861	-119.786	+159.851	+218.686	+272.114	+360.719	-117.89	-45.513	-29.4013	-106.674	+39.5885	-225.735	+668.773	-63.0512	-225.893	+89.837	+50.9807	+148.127	+206.431	+817.847	-927.634	-586.418	+379.987
OG0001857	+723.989	-29.6077*	+1848.11*	+72.1828	+676.056*	-25.9437*	-150.396	+234.504	-227.496	-120.014	-153.733	-239.128	+323.872	+2544.25*	+704.005	+50.7253	+243.193	-108.014	-308.634*	-272.969	+407.031	+329.389*	-24.8226*	+624.177*	-10.634	-26.3008	+40.6992	+0	-118.437	-129.966	+123.284	-107.075	-19.8735	+520.555	+161.268	+156.1	-81.5355	-190.578	+141.719	+130.395	+174.159	-381.756	-135.721	-10.6635	+239.195	-75.7923	+55.6197	+414.335	-98.1228	-75.8774	-45.7885	+317.146	-19.3332
OG0007322	-68.47	-96.3515	-48.6112	+516.599	+633.53	-111.47*	+585.403	+180.589	-61.4114	+119.228	-17.0709	-28.0709	+21.9291	-110.592	+326.876	-42.5915	-84.6112	-150.124*	+317.986	-40.1242	+39.8758	-51.4012	-142.124	+286.876	-82.47*	+159.599	-102.401	+0	+54.8582	-48.9767	+104.26	+21.7899	-131.931	+55.283	-20.0143	-133.186	+21.7899	+159.371	-81.7011	+0	-68.8096	+92.5327	-92.5327	+17.6185	+29.4013	+45.513	+117.89	-117.89	-8.9964	+60.1876	+23.723	-71.7436	+131.931
OG0003288	+132.447	-949.978	+11976.6*	-815.276	+761.447	-568.553	-2541.71	+1955.73	-1683.27	-606.74	+164.078	-181.762	+174.238	+3317.76	+412.091	-648.304	+290.091	-404.9	-381.478	-10.1277	+66.8723	-459.553	-413.244	+348.756	-187.304	+371.1	-319.9	+0	+0	-702.575	+808.404	-1409.11	+1303.28	+708.016	+2320.15	+3257.56	-906.646	-775.183	+775.183	-93.1605	+650.321	-918.335	-160.605	+246.174	-85.5691	-82.0086	+167.578	+279.65	+89.2842	+291.791	+451.69	-335.458	+78.5963
OG0004898	-929.922	-609.909	+5967.45	+18.5369	-16.4631	+20.5369	-927.634	+142.641	-188.359	-654.909	-781.806	-1334.63	+2101.37	+6619.99	-897.236	-2251.23	+4329.03	-1948.43	-1131.97	+609.706	-483.294	+5921.29	-921.319	+1149.68	-709.432	+1371.29	-1138.71	+0	+530.101	-798.115	+466.644	-1093.09	+0	+959.434	-303.824	+994.725	+0	-1757.55	+682.897	+770.829	+1974.56	-1643.78	+551.995	+854.483	+743.254	-1397.54	+1397.54	+844.326	-227.426	+227.426	-1892.4	-426.856	+654.282
OG0003044	-747.319	-1987.36	+4693.38	+3494.64	+6980.43	-2147.57	-1548.63	+1335.67	-1027.33	-590.458	-297.359	-2526.23*	+5442.77*	+2108.86	+2579.62	+746.1	+334.238	-424.478	-699.922	-227.244	+116.756	+1683.24	-39.5986	-3.59859	-381.7	+639.094	-430.906	+0	+317.014	+529.026	+1531.26	-1531.26	-1273.79	-465.698	+0	+1595.69	+0	+303.824	+690.901	+191.871	-142.497	-738.755	-654.482	-226.114	+482.976	-89.2842	+182.445	+650.321	-259.952	+742.928	-552.163	-692.135	+524.206
