Description,Orthogroup,acte,ando,chfle,chfus,cyca,enqua,gafa,heaur,hecri,hehe,hemag,hyva,macdac,neno,nema,oula,sama,stgag,sthad,stmer,exadia,golob,gonor,gopla,isnoc,pabor,cebra
desc,OG0002394,834,321,965,279,790,484,1000,697,919,4846,1260,1868,325,5067,1642,1232,1583,2156,300,1056,2056,2326,1387,865,1650,1820,2015
desc,OG0003515,1100,125,0,0,128,1182,429,1825,1474,3881,1022,274,2401,1222,555,724,652,1396,1309,1227,3912,594,547,346,507,1775,131
desc,OG0004453,3035,628,547,0,106,628,567,2386,1762,2346,1414,432,1244,1494,2625,1382,503,2252,2419,1149,1499,1530,1090,905,697,3613,346
desc,OG0007064,719,393,55,61,1206,384,366,544,276,862,290,416,266,768,448,537,533,352,364,293,476,623,378,298,718,240,672
desc,OG0006471,443,325,96,11,748,235,180,716,181,687,348,384,221,1161,310,576,229,214,374,164,352,400,284,248,977,439,563
desc,OG0002554,20733,10403,138,111,76,8103,931,15608,9112,17116,5382,491,15341,1990,3750,12733,964,5786,5425,2374,5835,2586,1772,1786,734,8055,7148
desc,OG0002397,783,47,1281,66,644,454,663,746,606,2668,771,508,256,2413,992,798,773,1072,832,448,929,739,632,657,504,370,280
desc,OG0002916,811,673,300,49,1846,158,454,760,742,396,873,210,784,3124,1131,645,2315,619,482,452,480,864,748,486,92,863,9
desc,OG0007098,1569,1615,650,139,209,237,290,2122,1500,1486,1178,513,909,2104,1219,1104,5144,974,1141,574,3,942,452,558,1403,3762,473
desc,OG0004670,495,269,41,84,850,193,322,776,217,1248,361,238,218,1013,490,520,457,926,1097,466,376,669,262,563,491,553,679
desc,OG0006683,1369,249,24,36,630,242,160,348,331,688,606,139,324,536,0,988,873,518,596,235,271,274,222,157,484,338,594
desc,OG0005785,727,1381,195,0,1433,458,328,508,273,709,4720,905,394,884,810,757,806,1048,626,376,576,402,329,179,362,199,0
desc,OG0005586,1193,2446,2253,298,1617,854,584,1823,1470,1700,1065,695,966,4320,846,1823,1800,2011,2261,1406,1369,1144,628,515,29,985,1639
desc,OG0005838,391,1144,845,50,620,429,181,283,230,485,348,751,65,1317,566,777,1164,548,542,258,514,925,598,560,39,141,36
desc,OG0005974,6794,4920,2657,416,8004,721,636,1663,1169,2587,1899,1995,684,5580,1475,3709,1780,1611,987,605,1459,865,486,689,3058,5013,4854
desc,OG0006662,1513,3055,606,218,1832,1936,751,1695,789,249,1622,1838,888,737,563,1849,1118,2163,3121,966,2,1525,1336,1007,410,604,1026
desc,OG0005166,813,311,110,67,600,253,369,371,307,496,202,443,506,936,755,318,472,432,435,306,571,243,131,177,214,858,323
desc,OG0005596,1177,487,101,35,37,303,391,566,280,1078,318,1055,392,793,827,628,340,545,409,467,371,275,277,452,641,767,1625
desc,OG0002822,4065,1900,0,242,0,1053,438,2252,1609,1759,887,219,1726,1507,3848,3003,604,1858,1321,654,1054,3452,2004,2118,1806,936,268
desc,OG0000825,10689,5161,2957,975,4354,1626,2020,2492,3856,6151,4500,17348,3982,13470,5531,16149,23126,7196,6067,3486,1840,3761,2721,1812,8978,15243,13371
desc,OG0006838,1838,1510,802,212,711,1007,720,2746,1888,2698,936,237,1070,10174,4495,1744,5515,1861,1534,812,1669,1629,1202,994,1651,2125,621
desc,OG0006397,3025,3065,1561,189,1780,1614,1292,3040,2721,1332,1425,1946,1984,2260,905,2743,1201,1900,1410,1001,1014,1597,1518,994,1374,1948,6088
desc,OG0006574,1098,702,353,89,906,892,783,1005,634,628,1318,319,612,715,1201,1853,1018,1267,1167,574,536,2671,1967,1595,271,519,130
desc,OG0006341,999,635,379,72,302,662,472,656,524,763,584,1135,482,867,1444,1542,822,678,1224,630,710,709,484,453,370,1047,822
desc,OG0005107,22391,31743,5653,1507,5257,2165,1024,3529,3260,17006,10294,3969,3476,15975,18013,19196,6605,8409,7956,4084,12142,3909,2521,2344,16928,32407,21476
desc,OG0006866,230,853,1070,272,919,526,750,1128,640,6053,968,1873,384,4808,7368,3144,1534,1724,2327,1194,3559,4364,1768,2861,2692,8340,2255
desc,OG0003745,1197,37,174,16,52,422,747,2086,1186,2664,796,106,926,1724,1647,595,443,1680,1012,508,1118,866,760,733,274,526,336
desc,OG0005213,1834,1071,180,42,75,438,508,852,778,2162,1419,317,967,266,441,1023,505,1144,1006,826,443,301,228,190,18,490,586
desc,OG0000334,190173,15056,386,2422,13054,2629,12610,0,2372,11737,8911,15128,941,10676,10226,6707,37917,6631,12747,6185,11168,10943,4614,8047,14900,10217,5697
desc,OG0004550,1530,2525,6893,661,2871,383,1849,1944,1798,3052,1142,1733,905,8076,2084,2839,3517,1559,2071,932,1514,3571,2348,1912,1168,1569,2613
desc,OG0004042,5114,1027,1350,57,25,799,710,1039,459,972,1400,782,1171,1845,3763,2992,3699,3486,2100,1032,706,1312,1000,707,8,496,565
desc,OG0000440,604,158,46,27,52,35,281,203,193,0,34,351,355,1482,671,274,541,158,129,87,625,345,225,202,10,204,508
desc,OG0006356,6271,5622,1857,344,426,302,1612,10818,2851,2066,4271,74,3108,2239,14293,28161,4840,7672,1,819,7655,7949,2700,4567,3704,3450,8220
desc,OG0006084,4972,2229,2227,796,50,3701,1225,4268,3486,5638,2585,728,2998,3535,4267,3137,408,5047,2384,3234,4047,3737,2582,1131,19,3731,2160
desc,OG0001818,90,310,352,240,662,154,207,249,172,766,663,112,98,2138,292,247,2833,436,325,226,150,571,313,244,200,166,358
desc,OG0003500,435,0,785,0,208,166,501,676,330,2028,622,233,0,3005,618,1192,1864,630,568,284,723,1008,707,544,1433,710,774
desc,OG0005320,208,130,106,20,25,212,170,197,194,212,182,155,54,522,64,294,0,583,326,141,381,3221,2368,183,507,1771,145
desc,OG0005259,658,489,68,33,300,121,174,345,270,996,302,747,155,2009,1846,868,1624,631,712,224,367,284,188,150,445,1253,121
desc,OG0006118,1832,2415,1579,328,76,1013,2268,4377,2534,3436,2443,1147,4146,4016,1742,3409,2323,4349,3077,1706,2336,2981,1970,1815,1738,923,1299
desc,OG0003800,2320,1026,602,51,126,448,587,1501,822,1669,1472,285,742,2316,1939,2722,2660,2736,2035,845,1484,849,886,834,717,733,204
desc,OG0005580,1742,1008,531,23,45,411,976,1490,2210,2146,836,947,1010,4029,1483,1408,761,1776,785,634,1280,1611,1169,1165,948,1991,534
desc,OG0006668,5629,8010,2634,222,5780,1853,543,2223,924,535,2274,2789,944,3899,1828,1842,3584,1854,4615,2038,1767,1142,1090,1046,2194,1156,1145
desc,OG0007137,1234,1491,2870,159,1084,308,1068,876,456,2162,721,1833,640,2030,1445,2110,7519,1195,975,497,1137,878,1228,553,1281,1782,976
desc,OG0005226,1232,1151,92,124,0,872,98,817,757,364,225,88,378,973,677,1011,1934,346,570,282,321,272,241,143,898,190,456
desc,OG0007337,1905,965,831,106,1337,277,655,442,315,770,526,3292,215,1212,532,1523,1740,792,899,271,509,264,169,168,558,887,626
desc,OG0002921,440,89,202,14,78,78,181,363,217,793,358,173,90,273,1075,646,259,1074,418,110,264,1157,418,742,1556,921,390
desc,OG0003856,5403,1293,964,16,698,930,1003,1157,1138,2212,2369,355,489,411,182,1295,951,2539,4208,2680,1692,1999,1250,858,2820,1073,2700
desc,OG0001141,1290,257,22,153,204,131,309,681,489,1580,400,59,506,3706,1007,1404,89,1000,618,352,1218,314,195,369,233,834,118
desc,OG0006982,903,1320,1299,418,740,681,758,1195,1046,1690,696,591,680,5579,1221,2401,3317,790,1254,504,1528,955,886,667,733,2289,1018
desc,OG0006611,78,364,195,14,604,45,48,128,15,131,145,131,16,356,246,447,177,170,168,202,78,373,198,205,21,477,60
desc,OG0001127,1489,294,300,79,748,338,978,695,734,686,861,350,209,783,2829,3679,4077,225,104,0,434,520,236,335,162,646,1555
desc,OG0007389,593,686,306,11,116,219,610,318,245,546,526,823,174,1124,413,1006,2035,539,386,252,506,361,219,228,1460,1205,358
desc,OG0006971,1397,1020,252,108,1395,1169,788,1732,954,3002,1299,339,756,3317,2036,1988,1405,1130,1771,760,1440,1097,704,446,1453,2240,1423
desc,OG0003230,769,127,501,194,59,366,664,1783,2167,7703,506,457,1754,1043,1341,1074,577,802,676,613,574,1699,954,484,506,663,642
desc,OG0004002,4196,1151,4402,819,129,1920,1565,3554,2857,8906,2845,1266,2454,4879,4431,1808,159,3735,3489,1795,2309,2628,1875,1488,1630,2441,2540
desc,OG0006480,916,820,547,123,986,387,501,1074,576,2548,760,1029,398,2732,452,1889,2016,990,794,907,1034,718,636,356,962,2052,877
desc,OG0006993,414,515,278,18,1219,198,165,403,184,454,513,144,142,797,450,400,586,1094,533,540,312,370,250,270,249,187,165
desc,OG0006625,7689,15928,2293,833,13977,11134,4380,6375,5148,15538,10573,4374,3290,6594,5529,8695,4817,6020,7546,4596,7062,5553,3367,3470,3315,10804,9948
desc,OG0003265,471,155,0,12,0,370,400,478,3387,633,617,371,1673,1039,1415,715,773,1061,1138,526,658,593,529,327,859,950,687
desc,OG0003866,413,267,151,15,2005,192,331,425,523,791,308,0,225,1167,275,673,719,242,175,202,268,530,263,188,635,1001,1042
desc,OG0007395,117,154,54,12,117,208,316,193,138,468,160,21,176,226,607,434,436,552,975,186,227,336,314,240,668,295,333
desc,OG0006380,1522,7371,15928,1362,687,437,1019,1813,1442,1640,2479,583,877,10147,1805,3807,4299,2478,3635,1161,6618,1062,444,276,25349,4820,9409
desc,OG0006406,1103,1717,1637,81,1182,728,556,2672,1854,8716,3393,491,349,6137,1186,1959,242,2564,4817,2037,5919,815,543,707,2259,2335,1667
desc,OG0006296,1333,872,2377,238,590,508,507,1092,759,885,1047,6970,2998,1227,255,773,1976,1470,1125,582,844,812,777,654,551,489,1089
desc,OG0005900,82,68,89,55,746,32,176,225,60,157,57,5,1800,404,507,4689,851,103,102,60,235,416,287,463,455,260,64
desc,OG0006167,1721,1347,1483,258,2104,479,352,1440,1197,2378,589,1167,195,1751,1386,1879,1439,982,1047,492,2082,2313,837,644,1366,1586,549
desc,OG0006663,174,204,64,48,4232,50,83,138,123,217,469,103,113,481,298,275,972,624,122,124,65,912,129,118,389,378,202
desc,OG0003016,1601,401,596,16,29,127,364,536,440,2224,520,130,220,907,369,721,892,863,342,215,429,1272,942,689,11,639,804
desc,OG0006954,1024,1162,629,175,85,350,570,467,336,1293,307,531,311,1714,689,872,1127,451,540,263,775,1071,640,591,937,1211,401
desc,OG0001454,1138,371,776,80,161,362,1208,892,375,1512,2051,307,85,1534,379,579,3029,1962,1446,875,765,904,711,473,110,688,276
desc,OG0006591,5707,8089,250,582,5645,1186,1183,1042,778,2516,2211,705,1027,3980,1027,7805,3828,2270,3614,1136,5948,1640,1088,1179,6883,6483,9128
desc,OG0005333,1938,2746,8773,0,6267,1146,1494,8175,3741,4533,7757,123,1178,3705,2164,3751,726,14051,5007,8888,2373,1024,1033,969,469,1935,555
desc,OG0003401,974,2059,352,146,1121,489,350,1207,827,2200,1010,741,352,1764,697,2336,2301,1644,1317,777,1853,587,360,460,1408,2153,855
desc,OG0003372,115,76,33,10,21,263,447,110,232,242,334,546,136,1198,264,312,1152,374,273,146,515,418,390,310,803,2082,356
desc,OG0000923,6855,877,10,46,19,1080,280,942,542,340,426,1650,107,1113,4216,753,1328,610,982,471,0,764,14,614,378,835,1295
desc,OG0001857,400,0,0,0,118,306,288,418,485,727,155,1002,453,2001,3317,649,702,605,1285,300,1095,1004,441,396,691,1232,770
desc,OG0007322,215,148,44,23,783,155,545,426,164,160,726,66,52,196,87,577,768,250,330,140,617,366,316,327,810,272,30
desc,OG0003288,1977,2475,784,1868,318,1161,856,2259,1568,2260,1674,2569,1622,14519,6206,3237,3198,2325,2402,1483,2382,2319,1963,2402,2923,10678,7039
desc,OG0004898,11386,2651,1360,1364,1362,2359,1315,6836,4326,10537,5076,1308,4101,8404,12322,4722,1327,7662,6569,2862,3161,5525,2089,1871,2496,4561,4230
desc,OG0003044,3828,1553,2431,997,7913,2634,3137,1873,803,2479,1538,2825,328,10643,5390,1589,10125,2661,3005,1631,5122,10053,2084,4121,1875,6355,3992
desc,OG0007213,270,260,61,11,291,217,85,162,159,346,221,44,242,555,215,299,315,306,146,99,221,113,57,83,379,721,317
desc,OG0002833,2122,1163,797,48,137,515,1336,912,685,1320,1957,803,274,2483,763,1891,1011,3355,2035,2515,0,5281,2362,1926,0,935,857
desc,OG0006880,7625,1340,2068,264,527,986,725,2944,1974,2488,1819,1227,1612,3102,3788,2597,857,2302,3295,1582,1494,762,749,321,738,719,2019
desc,OG0003643,1525,1059,38,191,1731,72,1097,292,296,1006,340,929,313,2949,2249,1572,3959,457,885,574,1022,2653,2224,2553,351,2481,3177
desc,OG0006914,1943,1161,2651,60,1166,1654,290,1069,592,2831,911,3143,355,3015,630,859,4152,825,2863,684,6058,764,529,470,1341,535,291
desc,OG0002838,1409,3419,982,49,0,265,405,2852,2440,1270,271,145,3472,1146,685,1857,1595,206,666,378,444,453,303,209,62,632,285
desc,OG0000265,406,118,17,0,0,215,180,341,193,652,1169,879,282,1183,888,250,1061,202,305,821,928,615,366,418,355,651,146
desc,OG0005982,1791,284,140,122,329,279,507,617,465,419,272,144,287,416,790,760,1225,287,492,234,462,1162,839,954,341,1038,785
desc,OG0004084,1692,121,600,0,63,448,669,937,451,1642,869,239,520,591,1168,585,668,791,581,346,465,378,592,168,550,378,534
desc,OG0005911,827,771,117,84,2177,136,253,482,294,820,1109,1621,183,1329,1188,1603,1599,495,461,356,799,771,244,282,1102,1833,327
desc,OG0005251,1183,1400,3803,62,72,753,1938,2709,1418,3166,1515,470,1388,2934,1505,1439,878,2829,2247,1286,2108,2851,1892,1994,454,751,491
desc,OG0004072,7098,2489,852,196,0,1490,990,1891,1958,3219,2005,1542,1684,1409,721,2261,1447,8741,6678,4082,960,2220,1835,1532,31,273,335
desc,OG0004437,7550,4432,3402,589,24,2054,4474,2249,3020,6893,5675,4649,2574,5407,6957,4243,2090,3413,3926,3076,2876,3379,2417,2154,2047,2881,481
desc,OG0005083,38649,38949,4374,1532,4067,3859,3450,11194,5287,15942,8234,3641,9577,20981,13915,23063,8844,9176,8501,3492,7749,5686,3873,3713,7872,17711,24010
desc,OG0003765,187,0,212,175,23,884,389,352,409,1724,329,13965,491,1490,374,5,932,733,272,300,1067,662,567,724,7,725,221
desc,OG0003246,1919,1184,832,745,201,710,636,1113,1260,4101,1840,448,520,15223,1153,1630,1037,1546,0,364,1453,1747,1085,955,438,2381,1741
desc,OG0004317,225,240,0,0,49,65,168,215,126,1646,455,102,110,481,478,70,331,597,254,287,215,179,121,351,218,198,309
desc,OG0006320,2828,1446,1061,314,1337,282,580,1175,662,1586,554,3018,506,8279,1935,2607,3303,564,560,329,6300,8,482,481,3943,6276,3655
desc,OG0000530,5312,4946,5238,669,5267,1449,1176,2262,1895,2991,2619,4493,593,8499,2423,4104,9763,3332,2778,1440,2951,3440,2348,2169,2667,4598,9879
desc,OG0003161,19823,27648,5985,1065,19700,1341,3332,4178,3414,5362,8291,2207,10331,6409,2234,18878,5779,7266,5814,1342,4129,3146,2589,2289,10359,26654,23025
desc,OG0001285,1930,3551,472,552,2061,561,374,2154,1273,2446,1699,2482,1528,7881,1873,5950,3634,2412,1747,1344,1343,1303,573,483,1895,2660,2648
desc,OG0004161,219,105,157,17,40,105,236,314,342,418,518,203,348,835,309,734,263,1726,795,440,207,120,79,79,330,324,161
desc,OG0006179,909,924,291,64,119,275,544,565,236,1554,919,404,168,1226,946,472,512,1101,1004,526,495,378,358,483,1676,2035,1372
desc,OG0003259,3283,2979,2916,1036,200,4899,5890,3642,8657,13100,9877,7019,5567,7232,15167,7298,10419,14306,13655,8588,6411,7174,6193,3862,2725,2556,604
desc,OG0003252,1768,1084,761,33,40,722,1008,1817,1657,4912,2121,1080,1457,8670,5431,1616,1738,3291,3487,674,1345,1423,1113,1169,2591,2389,3480
desc,OG0004723,725,467,0,0,0,779,446,846,1030,1411,609,547,298,586,460,942,156,706,524,430,664,414,282,186,1194,384,789
desc,OG0006155,1322,4191,1261,32,60,944,1939,1263,741,1153,1833,49,1216,1770,638,1737,1022,1595,2194,1830,2489,1714,1518,1863,745,784,306
desc,OG0005877,3301,6804,243,113,4934,721,676,1486,1079,2014,738,2038,777,2450,2683,3928,1653,1177,864,784,1507,846,539,573,1103,3554,958
desc,OG0000394,10955,14165,5135,240,17,7342,340,4786,2661,2672,6680,671,1232,3552,2983,7673,2737,5951,13513,4159,1192,271,459,261,230,219,446
desc,OG0007367,120,70,780,22,290,23,128,95,70,134,81,60,15,860,205,127,236,74,51,42,101,568,195,93,831,423,603
desc,OG0002250,1189,731,738,638,170,751,1122,1995,1510,2690,678,742,852,2727,3234,2314,498,2105,1715,982,1733,2551,1701,1519,1303,1006,205
desc,OG0005923,1103,1128,4135,137,1614,436,988,429,630,2356,944,1931,434,4662,1294,1728,713,844,575,431,966,1293,319,858,1764,1319,1060
desc,OG0004312,347,39,245,60,1648,175,149,163,150,196,88,910,41,687,1350,319,711,183,183,143,335,353,350,241,274,606,80
desc,OG0003495,4897,2017,1929,345,507,1229,1760,2251,1382,5070,1823,899,3490,3282,1654,3662,2738,6517,2290,1010,1656,1682,1206,935,1266,2612,22
desc,OG0004562,5779,470,517,0,0,548,588,1479,831,3765,2604,2271,1136,1432,0,1375,1429,3005,3004,3123,2336,1074,719,588,1344,987,2165
desc,OG0006423,14208,2330,814,120,1205,299,930,1531,527,1730,1150,676,974,1835,1098,1772,1568,780,658,599,1053,741,639,1255,352,1348,514
desc,OG0005163,3022,2308,201,131,0,1217,115,1629,710,1964,1770,198,377,1955,600,592,620,826,1923,768,2593,809,447,579,208,648,243
desc,OG0002590,5543,12950,139844,2513,2909,1250,156,4189,1882,9996,3145,16124,2297,17400,0,8086,162184,1086,3359,784,5257,986,1602,1234,38691,34029,21754
desc,OG0005955,644,778,277,45,362,765,638,483,456,491,976,255,222,1222,750,908,603,652,579,768,898,516,399,507,10,1521,99
desc,OG0003564,1225,69,0,0,123,232,402,859,478,1428,494,246,496,1100,913,471,1703,518,357,386,1230,747,717,447,1037,1320,1119
desc,OG0003938,1305,1632,2860,699,7432,396,593,1032,478,1838,1012,2254,761,7001,674,1490,2557,775,598,402,2284,558,300,393,1870,3012,1940
desc,OG0007101,969,636,130,18,1131,264,407,1047,607,420,385,429,546,867,1744,567,620,548,847,287,709,439,379,342,443,335,348
desc,OG0002675,5910,128,0,0,36,0,208,478,288,216,117,593,218,1505,421,231,538,105,218,0,779,917,511,370,451,446,333
desc,OG0000216,4045,10129,3304,900,4672,4108,754,4315,1676,1537,4066,610,808,14792,2321,4027,12785,2700,3890,1987,2845,972,410,563,7882,4634,13147
desc,OG0001055,20392,21484,1999,2600,46,9894,9520,19881,15020,46652,10372,1907,13931,15018,24731,20825,10020,25236,30992,11706,14528,13232,8378,8660,7612,37084,9324
desc,OG0004070,1228,468,1460,0,0,702,755,1299,594,1978,390,2030,256,2000,1407,1225,764,887,672,349,1118,920,707,535,754,1303,596
desc,OG0005070,981,500,296,0,44,385,540,1102,907,1482,1231,219,282,1347,2155,827,448,1892,1342,1301,820,681,641,329,203,858,1943
desc,OG0007050,932,1036,3408,96,720,919,672,892,669,1898,1186,1950,514,1335,5357,2269,3219,856,1157,557,1828,1337,1246,785,1440,1486,422
desc,OG0006360,1616,1220,1790,163,406,456,738,849,810,890,857,131,458,986,1288,990,889,1398,786,370,777,933,402,315,763,663,965
desc,OG0005204,1965,830,32,0,398,200,194,563,240,459,680,381,110,767,5632,1014,992,761,622,176,666,402,347,291,1293,1516,897
desc,OG0006344,465,1763,772,616,1312,310,294,917,714,1105,395,717,644,5649,837,760,2602,343,563,453,571,381,318,304,1173,1002,444
desc,OG0006979,1467,2269,1468,113,1053,940,965,1679,1118,2940,1771,419,539,5834,994,2281,1255,1610,1898,498,1005,931,512,703,1200,2104,1872
desc,OG0005605,882,0,261,156,272,2400,673,1062,1039,3644,2964,0,341,1280,1946,2422,1182,4283,5033,2627,1194,1384,1141,946,115,839,145
desc,OG0006005,615,957,219,84,3285,460,414,603,406,696,720,1786,128,1659,630,1276,620,1850,191,1156,365,391,641,154,2322,768,872
desc,OG0006133,5212,8897,728,198,755,2663,454,3292,2032,0,3072,1984,1460,1375,1004,3509,684,2088,3142,2224,1520,1011,634,487,1077,959,2570
desc,OG0003205,1071,50,18,11,15,256,462,885,632,3883,370,72,902,1133,1183,886,0,1250,1006,408,1384,990,745,516,469,602,438
desc,OG0003460,1304,333,6354,0,0,888,1100,1681,1567,3908,1658,2981,1524,3073,22428,2788,1494,2160,2721,803,472,1663,1569,1443,533,1341,144
desc,OG0000762,296,989,11399,0,77,1410,1086,1356,674,2180,830,2273,538,1287,1564,1734,3818,719,806,589,805,1475,776,691,1986,1290,1049
desc,OG0003893,481,61,57,11,50,112,438,773,378,817,315,268,588,1225,679,541,470,490,366,323,278,352,272,300,436,647,853
desc,OG0002661,3268,4463,5376,1144,693,1398,1799,1397,1430,3118,1153,885,764,6514,6198,4309,3041,3914,3568,2175,4009,2847,1838,1475,3905,10722,313
desc,OG0002532,16657,522,6382,394,1146,2784,2200,7896,3976,8674,6721,1597,2646,4292,3096,9677,2229,5980,19095,2684,124,2509,2964,1681,549,4181,314
desc,OG0006594,720,402,120,40,319,322,500,722,450,456,507,60,1042,1333,649,885,376,466,533,254,570,364,213,257,561,683,765
desc,OG0006285,4527,1201,67,1044,19787,772,160,577,462,3958,719,69,1256,12512,1788,1311,18167,1234,1085,500,7484,402,188,345,2089,29334,23188
desc,OG0003735,799,273,0,175,59,358,1074,1493,1008,3483,1803,591,429,2911,1857,1731,812,1872,1236,1140,1242,983,832,718,329,1077,1175
desc,OG0003674,12245,5551,6231,330,0,2505,1165,3321,2009,2818,1846,1917,1331,15184,1178,5503,3225,2532,4558,2868,1968,1853,1214,1089,107,2579,55
desc,OG0005051,599,226,256,12,148,122,259,518,406,568,517,249,349,1449,1150,442,239,483,606,422,369,6,981,181,53,895,429
desc,OG0000702,7505,625,1067,751,8825,753,1070,2520,787,1712,2715,1976,202,6838,670,2659,9605,3754,2578,535,2284,2432,1749,1484,914,3494,2672
desc,OG0001039,1079,1903,121,30,1621,223,1165,1842,1166,2913,1034,469,163,2718,518,1290,958,440,1202,920,803,1314,726,824,1997,3316,1489
desc,OG0001547,996,145,641,268,0,650,840,1357,1020,1946,696,349,214,1849,154,1141,0,886,964,771,1321,1437,939,1126,415,937,1764
desc,OG0006576,13362,1634,537,0,1579,486,259,420,163,1081,593,266,93,1243,462,1230,1127,396,423,1840,262,422,337,570,607,507,1688
desc,OG0006468,153,268,948,18,409,100,94,274,101,235,53,177,1744,1540,1240,252,233,616,161,96,123,556,303,390,177,529,350
desc,OG0006256,759,289,255,13,98,165,108,407,242,397,98,3702,87,933,724,289,1258,174,343,143,369,233,125,92,315,559,701
desc,OG0006409,439,1058,332,2486,1261,494,412,457,246,944,569,739,80,1650,7575,890,4742,1161,559,557,1010,885,745,661,1038,1189,1161
desc,OG0004525,554,604,1045,0,101,153,412,709,534,1403,526,1137,420,3469,454,384,353,477,372,417,713,447,391,356,568,827,567
desc,OG0005544,1655,1182,324,131,231,1455,873,1024,509,1044,1032,783,122,1926,2605,1576,975,1120,1099,860,2268,1001,798,487,93,326,273
desc,OG0004576,1607,1897,487,179,521,1084,1310,1859,1464,3520,1563,400,1402,2859,3015,1770,1441,1868,1998,1368,3480,1335,959,822,965,1290,353
desc,OG0005581,1288,2758,458,166,74,1080,905,911,582,9192,1520,2434,552,3258,1309,1173,1752,2952,1785,791,1909,1575,830,788,1492,1455,1124
desc,OG0004522,1150,87,136,155,144,278,461,751,840,2650,757,483,172,2136,879,752,1032,1255,902,496,628,931,620,491,1012,1279,342
desc,OG0004720,4753,10047,3730,85,4375,7072,12871,19553,16712,24556,28453,2153,22841,4082,10156,10318,1567,38385,25958,6043,8584,13334,8858,5881,204,715,358
desc,OG0005012,3051,591,636,209,0,70,534,509,343,1048,478,4173,25,3435,1384,341,2679,730,485,1162,775,1051,542,440,273,1520,497
desc,OG0005576,361,415,138,13,22,83,316,415,377,1255,407,217,300,687,328,628,576,447,328,460,527,338,588,178,969,610,535
desc,OG0007216,160,19,141,22,29,314,222,163,220,626,282,269,60,1139,311,303,365,364,297,571,240,251,164,162,99,509,100
desc,OG0001110,4879,10916,20083,4034,1556,1239,1379,8109,4964,22517,2784,15073,2548,24261,8013,8279,44483,2792,3373,1272,25206,10712,9217,9532,6926,24058,10600
desc,OG0002809,709,1262,26,0,78,604,630,873,654,1691,590,196,595,1733,504,709,220,1641,704,480,1477,1152,733,723,502,773,158
desc,OG0005148,495,365,480,203,2212,116,872,533,154,638,263,291,149,1847,986,311,1318,532,427,156,499,729,368,327,574,1168,903
desc,OG0003334,5860,3243,5202,479,1572,1734,1873,4092,3205,9938,5094,10237,1739,7401,146,7601,10817,5410,3886,2398,3156,3607,2481,2868,3028,8689,5108
desc,OG0006605,259,580,46,79,1658,298,268,265,193,218,335,177,119,1623,1674,285,329,321,374,176,240,404,220,225,1528,713,294
desc,OG0001072,5890,15241,1370,291,6960,5160,742,1283,1155,6456,8035,4935,294,5800,3647,12189,7834,4541,9310,3510,5669,4221,3233,2485,3525,2621,2314
desc,OG0005002,1585,707,400,329,34,618,797,1214,730,1066,544,477,1345,2028,1042,1271,541,1100,1112,762,618,1235,1050,406,13,643,1177
desc,OG0002967,2269,256,834,692,14,1822,357,4588,2722,4104,1815,2611,3501,3805,5108,1394,2087,3028,0,2788,1681,265,493,676,539,465,1049
desc,OG0002897,238,768,1442,92,297,470,955,999,642,957,695,1066,344,860,500,358,431,1466,1023,636,1318,844,718,404,44,1279,92
desc,OG0006422,942,1295,4113,14,147,402,330,711,583,1272,752,1352,508,3039,490,1025,1104,1119,563,433,918,592,513,653,855,249,908
desc,OG0001117,1457,906,230,28,590,772,246,719,554,750,1384,362,104,1337,431,271,1061,522,385,517,371,848,592,508,199,956,1673
desc,OG0004047,897,1097,13047,586,323,890,2004,995,658,2801,1519,1505,216,15930,1634,3670,6403,2144,3967,1629,3440,5256,3854,3221,14,2351,16
desc,OG0006907,3804,738,109,126,202,148,574,571,340,1680,615,496,323,986,1047,722,1304,944,542,364,640,1099,622,383,306,375,52
desc,OG0006234,649,465,2814,574,904,174,249,617,414,622,288,510,263,708,1237,416,3528,389,376,629,613,537,482,432,105,528,1705
desc,OG0000708,14057,9171,22120,3756,181,6248,4776,11119,8588,26093,8996,24360,8722,18369,17259,11999,16619,8211,11116,6336,14384,12349,10505,8205,9601,16069,4650
desc,OG0006489,943,651,1058,98,402,339,770,907,1090,2013,1322,512,830,3278,795,1268,1324,1071,513,492,529,664,711,773,171,1114,689
desc,OG0005553,1542,553,467,0,101,771,802,1447,1075,1574,1296,906,1145,2968,351,1850,1614,1475,1496,872,1257,1293,1067,786,1923,2655,1565
desc,OG0001328,2142,3315,451,71,262,1631,60,0,478,1166,0,168,256,1368,641,782,1554,0,0,587,3259,588,0,242,954,590,26
desc,OG0004113,406,739,1036,53,0,341,620,1363,1699,1841,1112,241,2071,1187,2105,636,1774,1396,1554,477,1267,897,508,377,1317,916,97
desc,OG0006999,235,788,256,253,815,130,687,539,496,1528,574,248,169,3138,617,747,5189,313,482,268,951,1534,1022,842,297,1704,1986
desc,OG0005796,566,800,297,65,402,339,463,535,400,785,447,432,322,1332,659,745,368,448,434,280,853,369,250,226,217,467,794
desc,OG0002753,3495,3129,282,491,135,271,1115,822,592,948,656,8393,676,2993,4456,2993,6384,934,1039,281,397,894,385,728,2905,9969,7601
desc,OG0000683,111,107,211,22,33,41,53,187,173,348,163,424,16,1153,2759,366,798,152,171,155,159,173,133,0,22,180,130
